"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.090544350E-1,1.704694510E0,2.124201298E0,-2.805770397E0,3.910314827E0
4.140270390E-1,2.298484564E0,2.569062710E0,-2.533178806E0,4.277862710E0
4.189996430E-1,2.917574167E0,3.030325413E0,-2.240664959E0,4.766098046E0
4.239722470E-1,3.311633825E0,3.373981714E0,-1.914041996E0,5.100414489E0
4.289448510E-1,3.471763372E0,3.596161127E0,-1.669330120E0,5.269931576E0
4.339174560E-1,3.493140459E0,3.783998489E0,-1.741774559E0,5.436400781E0
4.388900600E-1,3.408661127E0,3.899913549E0,-1.831704140E0,5.493945434E0
4.438626640E-1,3.302575111E0,3.846813440E0,-1.442021370E0,5.271091124E0
4.488352680E-1,3.286905527E0,3.715973854E0,-7.792778015E-1,5.021900389E0
4.538078720E-1,3.306473255E0,3.576933622E0,-2.297630310E-1,4.876475221E0
4.587804760E-1,3.232698917E0,3.449385166E0,8.719348907E-2,4.728234662E0
4.637530810E-1,3.053428888E0,3.355371475E0,1.741714478E-1,4.540075044E0
4.687256850E-1,2.830939293E0,3.186836958E0,4.072093964E-2,4.262840048E0
4.736982890E-1,2.461578369E0,2.894201517E0,-2.778854370E-1,3.809591947E0
4.786708930E-1,1.699010372E0,2.559523344E0,-8.441429138E-1,3.185965043E0
4.836434970E-1,4.832528830E-1,2.287482977E0,-1.615742683E0,2.841959911E0
4.886161010E-1,-9.389507174E-1,2.162171841E0,-2.356547832E0,3.333156643E0
4.935887060E-1,-2.094708204E0,2.185874462E0,-3.041205883E0,4.291244907E0
4.985613100E-1,-2.610285282E0,2.284708023E0,-3.691919804E0,5.065940371E0
5.035339140E-1,-2.308950663E0,2.299593210E0,-4.186067581E0,5.304954655E0
5.083627160E-1,-1.324586272E0,2.207504272E0,-4.388944149E0,5.088264404E0
5.133353200E-1,8.850300312E-1,2.024114609E0,-3.884942055E0,4.469126634E0
5.183079240E-1,1.448933601E0,1.960298181E0,-3.099877834E0,3.943528892E0
5.232805280E-1,1.640327454E0,1.858226180E0,-2.118793964E0,3.260822987E0
5.282531330E-1,1.692742229E0,1.649145484E0,-1.118190765E0,2.614461258E0
5.332257370E-1,1.604820132E0,1.314579129E0,-6.419849396E-2,2.075496902E0
5.381983410E-1,1.320894718E0,9.738442898E-1,1.024504662E0,1.934617626E0
5.431709450E-1,9.993699789E-1,6.650592089E-1,1.906425476E0,2.252887525E0
5.481435490E-1,7.095108032E-1,3.340435028E-1,2.555612564E0,2.673227678E0
5.531161530E-1,4.033963680E-1,-7.015585899E-2,2.998462677E0,3.026289626E0
5.580887580E-1,2.352333069E-2,-5.619680882E-1,3.189970016E0,3.239177393E0
5.630613620E-1,-4.827651978E-1,-1.117193699E0,3.180374146E0,3.405284673E0
5.680339660E-1,-1.094352961E0,-1.642709017E0,3.024187088E0,3.611344467E0
5.730065700E-1,-1.818099618E0,-1.967393517E0,2.858247757E0,3.917359278E0
5.779791740E-1,-2.605358601E0,-1.929169655E0,2.459438324E0,4.069204574E0
5.829517780E-1,-3.053883076E0,-1.610011339E0,1.369418144E0,3.713979592E0
5.879243830E-1,-2.894406557E0,-1.384610057E0,-1.731643677E-1,3.213210268E0
5.928969870E-1,-2.411016226E0,-1.385137200E0,-1.564279556E0,3.190387882E0
5.978695910E-1,-1.805081248E0,-1.480748773E0,-2.312656403E0,3.286231105E0
6.028421950E-1,-1.106440663E0,-1.524604559E0,-2.308646202E0,2.979677380E0
6.078147990E-1,-5.303478241E-1,-1.489365101E0,-1.718361378E0,2.335003864E0
6.127874030E-1,-1.963617802E-1,-1.453262329E0,-6.135253906E-1,1.589636044E0
6.177600080E-1,3.561258316E-3,-1.496387362E0,7.071933746E-1,1.655086188E0
6.227326120E-1,1.005780697E-1,-1.684065580E0,1.990329742E0,2.609138806E0
