"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.674173927E2,1.071435318E0,4.652939397E-1,3.438911613E-1,1.217675335E0
1.674273397E2,1.105373727E0,4.612903512E-1,2.944447303E-1,1.233425135E0
1.674372867E2,1.108400538E0,5.016992891E-1,7.555764757E-2,1.219000774E0
1.674472337E2,1.076734649E0,5.164939141E-1,-3.180406574E-1,1.235829004E0
1.674571797E2,9.322180831E-1,5.301787376E-1,-6.087091827E-1,1.233145132E0
1.674671267E2,7.218285397E-1,3.657632196E-1,-6.973986534E-1,1.068262166E0
1.674770737E2,5.768330866E-1,9.716084361E-2,-5.889770957E-1,8.301028000E-1
1.674870207E2,4.576837885E-1,-2.226917928E-1,-3.402739640E-1,6.122519543E-1
1.674969667E2,3.695764813E-1,-4.780648434E-1,-1.112034436E-1,6.144094530E-1
1.675069137E2,3.128729613E-1,-7.026096189E-1,-2.057978712E-2,7.693980076E-1
1.675168607E2,2.568535656E-1,-9.222976971E-1,8.129500866E-2,9.608411287E-1
1.675268077E2,2.065390058E-1,-1.216441880E0,1.500419656E-1,1.242940787E0
1.675367537E2,8.349531591E-2,-1.597383302E0,2.865135670E-1,1.625021510E0
1.675467007E2,-4.935663968E-2,-1.916803830E0,4.657600359E-1,1.973196749E0
1.675566477E2,1.209584266E-2,-2.116710193E0,6.217952514E-1,2.206181698E0
1.675665947E2,7.709480748E-2,-2.189526154E0,6.737501744E-1,2.292140416E0
1.675765407E2,4.474143237E-3,-2.277697488E0,7.790490266E-1,2.407248066E0
1.675864877E2,-1.712415576E-2,-2.443356124E0,8.230026197E-1,2.578297054E0
1.675964347E2,-1.813177720E-2,-2.535470821E0,8.635939177E-1,2.678569674E0
1.676063807E2,-1.470087956E-1,-2.545634451E0,8.451155468E-1,2.686277467E0
1.676163277E2,-3.931949933E-1,-2.680382951E0,7.318714980E-1,2.806187976E0
1.676262747E2,-5.793116482E-1,-2.767112362E0,5.417177792E-1,2.878536253E0
1.676362217E2,-6.761401507E-1,-2.737904935E0,3.007199621E-1,2.836145524E0
1.676461677E2,-9.248932761E-1,-2.858052353E0,1.671461678E-1,3.008625710E0
1.676561147E2,-1.176735632E0,-3.058075075E0,1.159583994E-1,3.278715642E0
1.676660617E2,-1.260068687E0,-3.102227985E0,-7.829494849E-3,3.348380634E0
1.676760087E2,-1.375511874E0,-3.199173067E0,-2.569507755E-2,3.482441882E0
1.676859547E2,-1.628898918E0,-3.346161543E0,-5.565847635E-2,3.721989605E0
1.676959017E2,-1.954845230E0,-3.370121094E0,-6.616636142E-3,3.896046694E0
1.677058487E2,-2.304686189E0,-3.416369061E0,4.051886559E-2,4.121261672E0
1.677157957E2,-2.682686169E0,-3.483377568E0,-1.881423497E-1,4.400695616E0
1.677257417E2,-3.141219266E0,-3.520700346E0,-4.449777158E-1,4.739260973E0
1.677356887E2,-3.299406914E0,-3.452382647E0,-6.423154700E-1,4.818464599E0
1.677456357E2,-3.421536831E0,-3.323751504E0,-8.614854117E-1,4.847308063E0
1.677555827E2,-3.528100582E0,-3.225091435E0,-1.053688214E0,4.894789815E0
1.677655287E2,-3.346687500E0,-3.159564028E0,-1.222520646E0,4.762112850E0
1.677754757E2,-3.069542634E0,-3.018513983E0,-1.073649293E0,4.436918013E0
1.677854227E2,-2.721421634E0,-2.771407142E0,-8.620572694E-1,3.978690236E0
1.677953697E2,-2.122389593E0,-2.530226453E0,-5.252412757E-1,3.344018823E0
1.678053157E2,-1.508706038E0,-2.235432059E0,-3.440243682E-1,2.718768686E0
1.678152627E2,-1.035875037E0,-1.969606526E0,-3.160699996E-1,2.247729344E0
1.678252097E2,-5.579315235E-1,-1.718525332E0,-3.404822711E-1,1.838625867E0
1.678351567E2,-3.988809720E-2,-1.394812948E0,-2.953427895E-1,1.426296457E0
1.678451027E2,2.810608922E-1,-1.085634989E0,-1.989303895E-1,1.138934525E0
1.678550497E2,4.126897565E-1,-9.304159713E-1,-1.453734756E-2,1.017938136E0
1.678649967E2,4.548435035E-1,-9.824374795E-1,1.840925682E-1,1.098160320E0
1.678749427E2,4.579569997E-1,-1.032532330E0,2.982641681E-1,1.168250461E0
1.678848897E2,3.568516244E-1,-1.141211019E0,3.501313098E-1,1.245912359E0
1.678948367E2,1.470384702E-1,-1.351790890E0,3.779488170E-1,1.411312945E0
1.679047837E2,-7.649239808E-2,-1.529657342E0,4.057020414E-1,1.584391624E0
1.679147297E2,-1.533540478E-1,-1.534433933E0,3.997647055E-1,1.593052660E0
1.679246767E2,-1.796834752E-1,-1.460376608E0,4.655705130E-1,1.543289309E0
1.679346237E2,-6.919565767E-2,-1.303611002E0,4.610692533E-1,1.384476269E0
1.679445707E2,-2.752781421E-2,-1.077625473E0,3.388484859E-1,1.129979087E0
1.679545167E2,-5.066583127E-2,-1.015684163E0,1.840890964E-1,1.033474790E0
1.679644637E2,3.447313696E-2,-9.877900207E-1,3.128260374E-2,9.888863046E-1
1.679744107E2,1.671815434E-1,-8.877231109E-1,1.047177851E-1,9.093777019E-1
1.679843577E2,3.840097484E-1,-6.102510935E-1,2.306984218E-1,7.570281671E-1
1.679943037E2,7.138684326E-1,-2.537001622E-1,3.022858465E-1,8.156890611E-1
1.680042507E2,1.098766081E0,1.040114415E-1,3.137521633E-1,1.147408253E0
1.680141977E2,1.443733970E0,5.581412923E-1,2.573779877E-1,1.569118513E0
1.680241447E2,1.666984465E0,9.583720940E-1,1.013906463E-1,1.925511449E0
1.680340907E2,2.039957593E0,1.449941667E0,-3.602348965E-2,2.503009291E0
1.680440377E2,2.324413233E0,2.013443102E0,-1.628168893E-1,3.079506347E0
1.680539847E2,2.518487583E0,2.611881650E0,-1.407073609E-1,3.631047235E0
1.680639317E2,3.668580230E0,5.339359830E0,-1.264869690E-1,6.479447758E0
1.680738777E2,6.257928173E0,1.003954064E1,-2.755979848E-1,1.183342704E1
1.680838247E2,7.439406627E0,1.035679769E1,-8.149662796E-1,1.277780104E1
1.680937717E2,7.211113787E0,8.262526191E0,-1.177049116E0,1.102973008E1
1.681037187E2,5.508893416E0,6.664180437E0,-1.053738427E0,8.710314130E0
1.681136647E2,3.298467852E0,5.310688008E0,-5.408686173E-1,6.275016825E0
1.681236117E2,2.012217525E0,4.654756127E0,8.962148029E-2,5.071864152E0
1.681335587E2,1.498913560E0,3.970588042E0,6.121426678E-1,4.288010016E0
1.681435047E2,1.713675359E0,3.583846766E0,7.101244605E-1,4.035457549E0
1.681534517E2,2.463081706E0,4.128432459E0,3.061882782E-1,4.817102585E0
1.681633987E2,3.144631116E0,4.522511405E0,-3.015175223E-2,5.508422949E0
1.681733457E2,3.701245116E0,4.140469537E0,3.378484659E-3,5.553621774E0
1.681832917E2,3.287125423E0,3.488566972E0,1.630203724E-2,4.793282677E0
1.681932387E2,2.939093885E0,2.817002560E0,1.026432296E-1,4.072384058E0
1.682031857E2,2.924296628E0,2.324182853E0,3.069694662E-1,3.748008398E0
1.682131327E2,2.504887544E0,1.892387611E0,5.513386782E-1,3.187407539E0
1.682230787E2,2.095354114E0,1.425324889E0,6.294738150E-1,2.611186931E0
1.682330257E2,1.934040544E0,1.173007008E0,5.597060438E-1,2.330177917E0
1.682429727E2,1.695371089E0,9.127591342E-1,3.890152939E-1,1.964368923E0
1.682529197E2,1.511113775E0,6.262508297E-1,1.455535698E-1,1.642206073E0
1.682628657E2,1.402407019E0,4.695208919E-1,-8.101660810E-2,1.481134365E0
1.682728127E2,1.027045595E0,1.796375746E-1,-3.244958373E-1,1.091966053E0
1.682827597E2,4.916213205E-1,-3.319499409E-1,-4.725554872E-1,7.584134589E-1
1.682927067E2,-6.621240824E-3,-7.874778610E-1,-4.348971526E-1,8.996114471E-1
1.683026527E2,-2.616596845E-1,-9.695478773E-1,-2.867240667E-1,1.044365629E0
1.683125997E2,-2.368426394E-1,-9.314404035E-1,-1.183640170E-1,9.683417277E-1
1.683225467E2,-4.222696884E-1,-1.275248498E0,-6.508309163E-2,1.344918670E0
1.683324937E2,-5.914296372E-1,-1.615123755E0,-3.647566214E-4,1.720004038E0
1.683424397E2,-6.021026330E-1,-1.894584410E0,-3.443666495E-2,1.988256410E0
1.683523867E2,-6.369506496E-1,-2.050623207E0,-2.537925482E-2,2.147418398E0
1.683623337E2,-7.322123176E-1,-2.284390796E0,-1.552665990E-2,2.398920020E0
1.683722807E2,-8.449194458E-1,-2.465803000E0,-1.725981116E-2,2.606601467E0
1.683822267E2,-1.042413540E0,-2.715025949E0,4.420721613E-2,2.908598661E0
1.683921709E2,-1.111130311E0,-2.911966605E0,1.948221358E-1,3.122837770E0
1.684021179E2,-1.383663477E0,-3.050174317E0,2.636521232E-1,3.359702431E0
1.684120649E2,-1.514320388E0,-3.236364282E0,2.602573029E-1,3.582590385E0
1.684220109E2,-1.607869114E0,-3.428261129E0,1.813350943E-1,3.790923353E0
1.684319579E2,-1.657946423E0,-3.531325321E0,4.621412672E-2,3.901433148E0
1.684419049E2,-1.845847283E0,-3.612518588E0,-5.419309102E-2,4.057139341E0
1.684518519E2,-2.091349356E0,-3.830296381E0,-1.581636020E-1,4.366912894E0
1.684617979E2,-2.213890040E0,-4.065076123E0,-1.771097501E-1,4.632226339E0
1.684717449E2,-2.258489385E0,-4.199595412E0,-1.280375775E-1,4.770091147E0
1.684816919E2,-2.115208043E0,-4.279255539E0,-1.346824265E-1,4.775381910E0
1.684916379E2,-2.230609276E0,-4.351182139E0,-2.212679958E-1,4.894625958E0
1.685015849E2,-2.168106341E0,-4.326841934E0,-1.106935664E-1,4.840919262E0
1.685115319E2,-1.975821531E0,-4.467521850E0,-3.291850850E-2,4.885049215E0
1.685214789E2,-1.907641535E0,-4.496080236E0,3.723397292E-2,4.884180595E0
1.685314249E2,-1.727985249E0,-4.359643645E0,6.020534433E-2,4.689994714E0
1.685413719E2,-1.663993321E0,-4.267190394E0,1.276692760E-1,4.581930497E0
1.685513189E2,-1.414963623E0,-4.172536837E0,2.335940726E-1,4.412114221E0
1.685612659E2,-1.186187510E0,-4.072634234E0,3.484450825E-1,4.256149009E0
1.685712119E2,-1.084155643E0,-3.984144226E0,4.030310333E-1,4.148642270E0
1.685811589E2,-1.011551643E0,-3.919676335E0,4.168619641E-1,4.069505276E0
1.685911059E2,-9.049832144E-1,-3.854483973E0,3.768343377E-1,3.977190646E0
