"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.243629583E-1,9.230122268E-2,-6.006364583E0,2.502584179E-1,6.012284449E0
6.343099583E-1,4.832913771E-2,-5.623452065E0,3.980666741E-1,5.637730564E0
6.442559583E-1,-1.278137022E-1,-5.328112126E0,4.754663408E-1,5.350811472E0
6.542029583E-1,-3.453885967E-1,-4.981297393E0,3.425661457E-1,5.004994363E0
6.641499583E-1,-3.320583337E-1,-4.328708366E0,1.325879904E-1,4.343450060E0
6.740959583E-1,1.280469330E-1,-3.419489720E0,-3.378168544E-2,3.422053063E0
6.840429583E-1,6.756799018E-1,-2.382715235E0,-1.036430669E-1,2.478833820E0
6.939889583E-1,1.103827065E0,-1.607980211E0,7.616757612E-2,1.951880132E0
7.039359583E-1,1.298730331E0,-1.187541432E0,7.029130894E-1,1.895004469E0
7.138829583E-1,1.251927024E0,-8.579987901E-1,1.113708567E0,1.882506300E0
7.238285833E-1,1.103095286E0,-2.939085406E-1,7.415115832E-1,1.361264437E0
7.337755833E-1,1.123839526E0,4.315391332E-1,2.491171876E-1,1.229349697E0
7.437215833E-1,1.271873192E0,1.105635974E0,-1.178735087E-1,1.689374585E0
7.536685833E-1,1.347597997E0,1.503707984E0,-2.380525745E-2,2.019337702E0
7.636145833E-1,1.366621767E0,1.745430710E0,4.242891705E-1,2.257034496E0
7.735615833E-1,1.303471838E0,1.661751207E0,8.921348351E-1,2.292675396E0
7.835085833E-1,1.044056607E0,1.422388417E0,1.353312920E0,2.223667886E0
7.934545833E-1,6.647977218E-1,1.415495135E0,1.360921317E0,2.073086905E0
8.034015833E-1,1.983752695E-1,1.547176185E0,9.172994971E-1,1.809570464E0
8.133485833E-1,3.142353991E-2,1.945054067E0,7.680018090E-1,2.091422851E0
8.232945833E-1,1.616201470E-2,2.492018407E0,8.706993811E-1,2.639798167E0
8.332415833E-1,4.829553450E-2,2.743106033E0,1.351603632E0,3.058397546E0
8.431875833E-1,2.177035332E-2,2.625500985E0,1.758980463E0,3.160338848E0
8.531345833E-1,-3.925042909E-1,2.611286404E0,1.693403208E0,3.136955646E0
8.630815833E-1,-9.566860494E-1,2.650259265E0,1.251215126E0,3.082963130E0
8.730275833E-1,-1.256953145E0,3.244951503E0,7.521071765E-1,3.560239692E0
8.829745833E-1,1.073621884E0,1.415161492E1,8.523538882E-1,1.421785413E1
8.929205833E-1,3.893419705E0,2.895948625E1,6.699510484E0,2.997822546E1
9.028675833E-1,3.352539101E-1,2.392687194E1,1.212753691E1,2.682694070E1
9.128135833E-1,-1.911739483E-1,1.088551112E1,7.929322608E0,1.346866945E1
9.227605833E-1,-2.805710417E0,3.358424324E-1,1.150817994E0,3.051095400E0
9.327075833E-1,-6.456296718E0,-1.086400389E0,-7.458716472E0,9.924539512E0
9.426535833E-1,-6.642448091E0,-3.589938980E-1,-9.016298947E0,1.120467045E1
9.526005833E-1,-4.912413685E0,-5.630202091E-1,-5.565668710E0,7.444828283E0
9.625465833E-1,-1.839198853E0,6.005698586E-1,-2.208217948E0,2.935909243E0
9.724935833E-1,3.667347345E-1,3.575223877E0,-4.300068703E-1,3.619616837E0
9.824405833E-1,2.070247632E0,7.274091808E0,6.664918064E-1,7.592268977E0
9.923865833E-1,3.534755298E0,9.906701252E0,2.021740301E0,1.071095974E1
1.002333583E0,4.060934540E0,1.087572756E1,4.027835791E0,1.228804705E1
1.012279583E0,3.754164756E0,1.025938191E1,6.127655717E0,1.252584667E1
1.022226583E0,3.025361073E0,8.237139335E0,6.650913105E0,1.101080920E1
1.032173583E0,1.257258954E0,6.546691164E0,4.976413214E0,8.318927440E0
1.042119583E0,-4.424824896E-1,5.280923926E0,2.208048964E0,5.741030264E0
1.052066583E0,-1.311029072E0,3.928892716E0,3.638500106E-1,4.157809764E0
1.062012583E0,-1.910250417E0,3.003081427E0,-7.660928392E-1,3.640666553E0
1.071959583E0,-2.132528080E0,2.340356251E0,-1.359004599E0,3.445553206E0
1.081906583E0,-2.088650282E0,1.836264866E0,-1.234285098E0,3.042661394E0
1.091852583E0,-2.002368475E0,1.790890473E0,-5.971444134E-1,2.751971956E0
1.101799583E0,-1.322618546E0,2.582229835E0,7.465913518E-1,2.995768580E0
1.111745583E0,-7.093706813E-1,2.917185829E0,1.991339603E0,3.602584259E0
1.121692583E0,-3.759291887E-1,2.824383500E0,2.781381322E0,3.981776861E0
1.131639583E0,-2.326861462E-1,2.657834333E0,3.066019102E0,4.064320278E0
1.141585583E0,-2.187664839E-1,2.524221362E0,3.248822359E0,4.119999877E0
1.151532583E0,-3.542504905E-1,2.281531507E0,3.444336294E0,4.146604868E0
1.161478583E0,-6.582175577E-1,1.640999438E0,3.398406415E0,3.830834853E0
1.171425583E0,-9.514649244E-1,9.299943870E-1,2.983807250E0,3.266998740E0
1.181372583E0,-1.085074387E0,5.025447965E-1,2.560688692E0,2.826139465E0
1.191318583E0,-1.060456586E0,2.628364366E-1,2.490096427E0,2.719233601E0
1.201265583E0,-9.381380235E-1,-6.518242121E-2,2.404073360E0,2.581457034E0
1.211211583E0,-6.557498134E-1,-5.214891905E-1,2.296645975E0,2.444696613E0
1.221158583E0,-4.324844087E-1,-8.243901640E-1,2.155751467E0,2.348175098E0
1.231105583E0,-3.318504652E-1,-9.927636623E-1,1.986007966E0,2.244979301E0
1.241051583E0,-2.684654050E-1,-1.208063405E0,2.004123809E0,2.355419943E0
1.250998583E0,-3.251966261E-1,-1.588260477E0,1.958841656E0,2.542712099E0
1.260944583E0,-2.184075379E-1,-1.933617498E0,1.881610316E0,2.706849804E0
1.270891583E0,5.518602133E-3,-2.331695940E0,1.666216725E0,2.865853204E0
1.280838583E0,1.669656350E-1,-2.800590010E0,1.538931757E0,3.199920762E0
1.290784583E0,4.262783202E-1,-3.184090174E0,1.711627225E0,3.640029011E0
1.300731583E0,4.108356044E-1,-3.688467488E0,2.130602592E0,4.279374453E0
1.310677583E0,2.182748792E-1,-4.212329478E0,2.545628311E0,4.926620247E0
1.320624583E0,-1.284475404E-1,-4.867658511E0,2.486257145E0,5.467364333E0
1.330571583E0,-3.252518823E-1,-5.267114557E0,2.041421005E0,5.658240386E0
1.340517583E0,-3.807283641E-1,-5.603455757E0,1.556507464E0,5.828068805E0
1.350464583E0,-3.401821262E-1,-6.044155723E0,1.191028127E0,6.169772304E0
1.360410583E0,-2.026208597E-1,-6.446062337E0,7.122326741E-1,6.488455151E0
1.370357583E0,3.423581310E-3,-6.786617040E0,3.777807096E-1,6.797124453E0
1.380304583E0,2.404448166E-2,-7.108858849E0,2.947932243E-1,7.115009158E0
1.390250583E0,1.032727189E-1,-7.301741536E0,1.827766523E-1,7.304758861E0
1.400197583E0,3.873500800E-1,-7.255700560E0,4.988581270E-2,7.266203913E0
1.410143583E0,6.514593458E-1,-7.083430477E0,3.388900012E-2,7.113405308E0
1.420090583E0,8.548341309E-1,-6.830578746E0,5.604263842E-3,6.883863654E0
1.430037583E0,1.040138973E0,-6.631369956E0,1.853304237E-2,6.712473468E0
1.439983583E0,1.162287747E0,-6.558803671E0,4.533053935E-3,6.660993841E0
1.449930583E0,1.207942075E0,-6.398163700E0,-1.544401681E-1,6.513023457E0
1.459876583E0,1.211627429E0,-6.053321818E0,-5.312756753E-1,6.196208510E0
1.469823583E0,1.156131798E0,-5.687958548E0,-8.038029948E-1,5.859659754E0
1.479770583E0,1.019135628E0,-5.437715845E0,-7.563665807E-1,5.583859010E0
