"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.167858336E-2,1.064380652E0,1.307297671E0,5.359811051E0,5.618674922E0
4.163658334E-2,7.358962827E-1,1.107424638E0,6.223140748E0,6.363600666E0
5.159458332E-2,1.872348619E-1,8.673134047E-1,6.589657674E0,6.649126085E0
6.155258336E-2,-4.902976571E-1,5.777972925E-1,6.401203083E0,6.445901210E0
7.151058334E-2,-1.146685329E0,4.749219650E-1,5.837725621E0,5.968205639E0
8.146758331E-2,-1.551615684E0,3.470644087E-1,5.233018273E0,5.469227110E0
9.142558335E-2,-1.308593122E0,7.222422302E-2,4.755621182E0,4.932906356E0
1.013835833E-1,-6.090132380E-1,-1.047669017E-1,4.051680737E0,4.098535106E0
1.113415833E-1,3.686717708E-1,-6.895504475E-2,2.940550718E0,2.964373829E0
1.212985833E-1,1.251389519E0,-1.816338140E-1,1.816465609E0,2.213258656E0
1.312565833E-1,2.358381024E0,-3.495699406E-1,1.469601175E0,2.800694166E0
1.412145833E-1,3.700016908E0,-3.611895275E-1,1.294846026E0,3.936649492E0
1.511725833E-1,4.038307570E0,-7.541206652E-1,1.179651784E0,4.274131998E0
1.611305833E-1,3.746204649E0,-1.250836372E0,4.137191588E-1,3.971121308E0
1.710875834E-1,3.005430254E0,-1.309026693E0,-2.087631404E-1,3.284774565E0
1.810455833E-1,2.002015888E0,-1.149143937E0,-4.244868064E-1,2.347080836E0
1.910035833E-1,9.572204849E-1,-1.123002790E0,-6.185664189E-1,1.600009605E0
2.009615834E-1,1.586468013E-1,-9.180982268E-1,-1.120212498E0,1.457034386E0
2.109195833E-1,-9.527350858E-2,-7.427794057E-1,-1.431601875E0,1.615636783E0
2.208765833E-1,-8.025287038E-2,-8.437163812E-1,-1.531383440E0,1.750266579E0
2.308345833E-1,5.621001497E-2,-1.090947769E0,-1.669826211E0,1.995406268E0
